,city,cuisines,longitude,latitude,priceRangeMin,priceRangeMax,websites
9390,New York,"Salads,Vegetarian",-73.993617,40.731107,0.0,0.0,https://justsalad.com
9413,Manistee,"Pizza,Restaurants,Italian,Vegetarian Friendly",-86.31023,44.26559,0.0,25.0,https://www.bigalspizza.net
9437,Charlotte,"New American,Vegetarian,Italian",-80.8265,35.2138,40.0,55.0,https://www.customshopfood.com
9599,New York,"American,Italian,Healthy,Vegetarian",-73.979965,40.780322999999996,40.0,55.0,https://cescanyc.com
9683,New York,"Salads,Vegetarian",-73.981746,40.777514000000004,0.0,0.0,
9705,New York,"Salads,Vegetarian",-73.978701,40.758761,0.0,0.0,https://www.tossed.com/
9730,Jamaica,"Indian,Vegetarian",-73.794013,40.710358,0.0,0.0,https://www.sagarfood.com
9756,Carrboro,"Traditional American,Vegetarian",-79.0723,35.9111,0.0,0.0,https://weaverstreetmarket.coop
9774,New York,"Salads,Vegetarian",-73.956663,40.766884000000005,0.0,0.0,
9798,Skowhegan,"Health Food Restaurants,Delicatessens,Sandwich Shops,Vegetarian Restaurants,Vegan Restaurants,Restaurants,Take Out Restaurants",-69.72134,44.76893,0.0,0.0,https://www.kelmatcafe.com
9806,Reno,"Asian,Sushi,Japanese,Vegetarian,Steakhouse",-119.8143,39.5306,40.0,55.0,https://www.ichibanreno.com
9812,Flushing,"Chinese,Vegetarian",-73.82249399999999,40.754073999999996,0.0,0.0,
9830,Walnut Creek,"Asian,Thai,Vegetarian Friendly,Asian/Pacific,Fusion",-122.0625,37.897304999999996,0.0,0.0,https://www.kachathai.com/
9833,New York,"Salads,Vegetarian",-73.987143,40.761909,0.0,0.0,https://justsalad.com
9852,Santa Rosa Beach,"American,Seafood,Wine Bar,Vegetarian Friendly,Vegan Options,Gluten Free Options,Breakfast and Brunch,Bar,Soups",-86.254196,30.354066999999997,0.0,0.0,https://www.stinkysfishcamp.com/
9855,Austin,"American,Vegan,Gluten Free",-97.74136999999999,30.29768,25.0,40.0,https://wildwoodbakehouse.com
9943,Phoenix,"Mediterranean,Vegetarian,Persian,Middle Eastern",-112.09064,33.48048,40.0,55.0,https://persiangardencafe.com
