,city,cuisines,longitude,latitude,priceRangeMin,priceRangeMax,websites
3348,Brooklyn,"Pizza,Pizza, Kosher, Vegetarian-Friendly,Vegetarian,Kosher",-73.99339,40.63373,7.0,12.0,
3349,Brooklyn,"Pizza,Vegetarian,Kosher",-73.990153,40.637042,0.0,0.0,
3408,Brooklyn,"Vegetarian,African",-73.96309699999999,40.682689,0.0,0.0,
3421,New York,"Vegetarian,Indian",-73.98660100000001,40.726323,0.0,0.0,https://www.panna2.com
3459,New York,"Asian Restaurants,Take Out,Vietnamese Restaurants,Vegetarian,Take Out Restaurants,Vietnamese,Asian,Restaurants,Vegan",-73.986611,40.726478,0.0,0.0,https://lancafenyc.com/
3515,New York,"Vegetarian,Indian",-73.982835,40.742376,25.0,40.0,https://dhabanyc.com/
3569,Brooklyn,"Vegetarian,Eclectic and International,Kosher,Vegan",-73.97949,40.678065999999994,25.0,40.0,https://www.thevspotcafe.com
3640,New York,"French,Vegetarian,Bistro",-74.002619,40.724755,0.0,0.0,https://www.bistrolesamis.com
3723,New York,"French,Vegetarian",-73.975889,40.759623,0.0,0.0,https://www.la-grenouille.com
3739,New York,"Vegetarian,Indian",-73.98666800000001,40.72648,0.0,0.0,https://www.apnamasalacuisine.com
3757,New York,"Italian,Vegetarian",-73.98795,40.737133,0.0,0.0,https://www.floriannyc.com
3768,Jackson Heights,"Vegetarian,Indian,Desserts",-73.89299799999999,40.74902,0.0,0.0,
3840,New York,"Vegetarian,Healthy",-73.982916,40.719994,0.0,0.0,
3843,Brooklyn,"Asian Fusion,Vegan",-73.989956,40.687915000000004,0.0,0.0,
3923,New York,"Vegetarian,Japanese,Noodles",-73.95259399999999,40.781187,25.0,40.0,https://www1.narutoterakawa.com
3969,New York,"Vegetarian,Salads",-74.011626,40.703753999999996,0.0,0.0,
3996,New York,"Vegetarian,Salads",-73.993617,40.731107,0.0,0.0,https://justsalad.com
4028,Brooklyn,"Vegetarian,Salads",-73.97962199999999,40.669487,0.0,0.0,https://justsalad.com
4060,New York,"Pizza,Middle Eastern,Vegetarian,Salads,Kosher",-73.95348800000001,40.782644,0.0,25.0,httpss://sabaspizzanyc.com
4132,New York,"Vegetarian,Salads",-73.955124,40.776886,0.0,0.0,
4152,New York,"Vegetarian,Salads",-73.978701,40.758761,0.0,0.0,https://www.tossed.com/
4187,New York,"Mediterranean,Vegetarian,Coffee and Tea,Kosher",-73.952907,40.782752,0.0,0.0,
4217,New York,"Smoothies and Juices,Vegetarian,Coffee and Tea,Healthy,Vegan",-73.994736,40.720653999999996,25.0,40.0,https://www.thebutchersdaughter.com
4267,New York,"Breakfast and Brunch,Vegetarian,Coffee and Tea,Hungarian,Healthy,Vegan",-73.977012,40.785278000000005,25.0,40.0,https://www.peacefoodcafe.com
4347,New York,"Mexican,Vegetarian",-73.997076,40.7216,0.0,0.0,https://www.mexrad.com/
4367,New York,"Mexican,Middle Eastern,Vegetarian,Turkish",-73.985309,40.727354,0.0,0.0,https://www.mediterraneangrillandtapas.com
4391,New York,"Mexican,Vegetarian",-73.98494699999999,40.728095,0.0,0.0,
4421,Brooklyn,"American (New),New American,Local/Organic,Vegetarian",-73.971618,40.678982,25.0,40.0,https://www.jamesrestaurantny.com
4519,Torrance,"Healthy,Salad,Breakfast and Brunch,American,Soups,Vegetarian Friendly,Vegan Options,Gluten Free Options",-118.35636299999999,33.835769,25.0,40.0,https://www.souplantation.com/
4528,New York,"Health Food,Vegetarian",-73.992312,40.742529,0.0,25.0,https://www.terrinyc.com
4554,San Francisco,"American, Mexican, Vegetarian",-122.44046000000002,37.80032,0.0,0.0,
4580,Los Angeles,Vegetarian,-118.270394,34.081028,0.0,0.0,
4655,Jackson Heights,"Indian,Vegetarian",-73.89237299999999,40.748721999999994,0.0,0.0,
4684,Concord,"Mexican Restaurants,Latin American Restaurants,Vegetarian Restaurants,Vegan Restaurants,Caterers,Restaurants,Mexican,Latin American,Healthy,Vegetarian,Vegan",-71.601809,43.282465,25.0,40.0,https://www.dosamigosburritos.com
4734,Chicago,"Mediterranean,Vegetarian Restaurants",-87.668717,41.98365,0.0,0.0,https://turkishcuisine.net
4754,College Point,"Japanese,Sushi,Vegetarian",-73.836019,40.785790999999996,0.0,0.0,https://www.akiyamasushiny.com
4858,Bellerose,"Indian,Vegetarian",-73.721599,40.742540999999996,0.0,0.0,
4899,Glen Oaks,"Indian,Vegetarian",-73.708897,40.737211,0.0,0.0,
4923,Austin,"Traditional American,Mexican,Vegetarian",-97.750057,30.308317,25.0,40.0,https://www.kerbeylanecafe.com
4973,Phoenix,"Chinese Restaurants,Caterers,Bars,Asian Restaurants,Bar and Grills,Vegan Restaurants,Restaurants,Asian,Healthy,Chinese,Vegetarian,Vegan,Taverns",-112.09154299999999,33.480677,0.0,0.0,https://www.mushugrill.com
4990,Canoga Park,"Indian,Vegetarian",-118.61339199999999,34.201068,25.0,40.0,https://www.delhipalaceindiancuisine.com
5021,San Diego,"Vegetarian,International,Breakfast and Brunch,Vegan,Asian",-117.121473,32.763092,25.0,40.0,https://www.jyotibihanga.com
5078,Tempe,"Thai,Vegetarian",-111.910257,33.347827,0.0,0.0,https://yuphasthaikitchen.com/
5085,Chicago,"Traditional American,Vegan,Breakfast and Brunch,Vegan Options",-87.676736,41.951325,0.0,0.0,https://www.adeliciousvegancafe.com/
5100,Richmond,"Indian,Vegetarian Friendly,Vegan Options,Gluten Free Options,Indian Restaurants",-77.47498,37.566179999999996,0.0,0.0,https://www.lemoncuisineofindia.com
5228,Newport Beach,"New American,Health Food,Vegan,Vegetarian,Greek,Mediterranean,Tapas / Small Plates",-117.86390700000001,33.638462,25.0,40.0,https://www.pitajungle.com/locations/tucson/
5251,Salt Lake City,"Traditional American,Seafood,Vegetarian,Vegetarian Restaurants",-111.89581000000001,40.762734,0.0,0.0,https://www.themetropolitan.com
5261,Encino,"Health Food,Vegetarian",-118.514036,34.161494,40.0,55.0,https://www.coraltreecafe.com
5390,Houston,"Middle Eastern and African,Mediterranean,Health Food,Vegan,Vegetarian",-95.460374,29.689110999999997,25.0,40.0,https://www.fadismeyerland.com/
5429,Hollywood,"Greek,Seafood,Mediterranean,Vegetarian,Mediterranean Restaurants",-80.117549,26.014695,40.0,55.0,https://www.tavernaopa.com
5597,Escondido,"Vegetarian,Californian",-117.063804,33.131871999999994,0.0,0.0,https://www.submarina.com/
5602,Vienna,"Vegetarian,Vegetarian Restaurants",-77.27570300000001,38.892958,0.0,25.0,https://www.crystalsunflower.com
5710,Westmont,"Vegetarian,Indian,Vegetarian Restaurants",-87.975883,41.810579,0.0,0.0,https://www.shreerestaurant.com
5783,Boston,"Indian,Vegetarian",-71.08821400000001,42.348304,0.0,0.0,https://www.bhindibazaar.com/
5805,Pittsburgh,"Barbecue Restaurants,American, Vegetarian",-79.999545,40.441272,0.0,0.0,https://franktuary.com
5820,Chicago,"Mexican,Vegetarian,Breakfast and Brunch,Diners",-87.62260699999999,41.892621000000005,0.0,0.0,https://burritobeach.com
5835,Woodside,"Thai,Vegetarian",-73.915236,40.744326,0.0,0.0,https://www.iamthairestaurant.com
5861,New York,"Vegetarian,Chinese,Dim Sum,Thai",-73.990185,40.717656,0.0,0.0,
5872,Chicago,"Vegetarian,Caterers",-87.664651,41.896114000000004,40.0,55.0,https://www.greenzebrachicago.com
5895,Torrance,Vegetarian,-118.328934,33.791073,25.0,40.0,https://veggiegrill.com
5937,New York,"Indian,Vegetarian",-73.980698,40.755321,0.0,0.0,
5947,San Francisco,"Vegetarian,Hot Dogs",-122.47543200000001,37.763687,25.0,40.0,https://underdogorganic.com
5960,Houston,"Vegetarian,Italian,Pizza",-95.387069,29.734299,25.0,40.0,https://eatatbowl.com
5986,San Diego,"Indian,Vegetarian",-117.16139299999999,32.711371,0.0,25.0,https://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJjGfGKhn-4uclifXa7DPnL6tq43hXD0DpX-8lK-L6wMbe4IxO_Fv3Aw7vFB2MxV0kcZpiKLk09FetuP1MCh1e1HL39Ei4Z9znsVBpZ8rAauhqX_WNbYAOJ8Qn9D5fZaHugxn7MAl2DjX1ewjog2hmjjJKf880WWosBZhFDC9Rjwhg94HmNvZasfznW7xiZ7MVeOkVFDFpeNAcYbs0d4L9ooVfHhEvqWVt_r9ywPGp31XDhSFGxR2Rdnkk6cg9KbxdB2wquyhpStEWyAvs_cGNweHOAO4heMkyMq4E0vjXI9zzSbF7MWKgQtsmebTOymxLROcghObXIcOsfCIa8VyXjTHwvfKdivuRqHVVnKJo_w4&placement=listing_profile&cs_user=unknown&cs_session=8f7c2592e67ba48fc6a57eed895676fa6ca1bbdd
6021,Santa Fe,"Seafood,Vegetarian,Greek,Indian",-105.98296299999998,35.660273,25.0,40.0,https://indiahousenm.com
6087,San Francisco,"Fast Food,Japanese,Asian,Vegetarian Friendly,Vegan Options",-122.404063,37.791467,0.0,25.0,https://onigilly.com
6107,Miami,"Breakfast and Brunch,Vegan",-80.13724599999999,25.933695999999998,0.0,0.0,https://www.vegetarianrestaurantbyhakin.net/
6109,Beverly Hills,"Ice Cream and Desserts,Breakfast and Brunch,Coffee and Tea,Vegan,Vegetarian",-118.398955,34.06281,25.0,40.0,https://www.urthcaffe.com
6250,Diamond Bar,"Indian Restaurants,Caterers,Restaurants,Indian,Indian, Vegan",-117.81031000000002,34.01959,0.0,30.0,https://www.dilliwalaindiankitchen.com
6263,Berkeley,"Italian,Pizza,Vegetarian",-122.28458,37.870026,0.0,0.0,https://www.fellinirestaurant.net
6307,Champaign,"Mexican Restaurants,Latin American Restaurants,American Restaurants,Vegetarian Restaurants,Seafood Restaurants,Vegan Restaurants,Bar and Grills,Restaurants,Mexican,American,Latin American,Seafood,Healthy,Vegetarian,Vegan",-88.2447,40.099605,0.0,25.0,https://www.cactusgrillchampaign.com
6314,Evanston,"Thai,Thai Restaurants,Japanese,Asian,Sushi,Vegetarian Friendly,Vegan Options",-87.677839,42.033935,0.0,25.0,https://siamparagonevanston.com
6420,Astoria,"Middle Eastern,Sandwiches,Vegetarian",-73.914467,40.764755,25.0,40.0,
6437,Los Angeles,"Hamburgers,Vegetarian",-118.36114099999999,34.079057,25.0,40.0,https://thegoldenstatecafe.com
6443,South Richmond Hill,"Indian,Vegetarian",-73.830495,40.688679,0.0,0.0,
6449,Wellesley Hills,"Vegetarian,Thai",-71.27389699999999,42.313014,25.0,40.0,https://www.coconut-cafe.com
6546,Charlotte,"American Restaurants,Caterers,Coffee Shops,Vegetarian Restaurants,Vegan Restaurants,Breakfast Brunch and Lunch Restaurants,,Restaurants,American,Cafeterias,Breakfast,Brunch and Lunch,Healthy,Vegetarian,Vegan",-80.811749,35.220338,25.0,40.0,https://www.zadajanes.com
6563,Penfield,"Vegetarian,Chinese,Thai",-77.474122,43.130472,0.0,0.0,
6628,Los Angeles,"Vegetarian,Indian",-118.346774,34.083484000000006,0.0,30.0,https://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJz5Ccr3JHW5Ole8okeGVLfoNskrbnM4zDOJVf4OhgYJ0H3QjoRj9Vxyawv6MbuAQahmmyWf6JnkhIaifqel3tL3txT5zUeK-vH0apMeGnhhB3zEkULAqTiOcu7cjojGYjfzJpNPQP9lMd7A7fzUP5wmGEU7-cKRm5KdbKjyqF_VJXqBTWLWxmOkWJTUJy7VAJE1pDYLRgz4guvLfiWOR2_YosFnUkhUAnE_-v9LeHJLDbtPpBaM3YTI-RG6k9XExitkElVtON7Id5dUAbHHetStE4vQDK_6VEGqkGztLU0HuzGHlUBVE3cb3R9pXH06wp4q6Z6D44ri5FyZ2HblQRbWi5Uai1wNL-5z4-p0pfyTM&placement=listing_profile&cs_user=unknown&cs_session=0506d0475b13d4e4d075dfe359e2efadd3709e76
6663,Warren,"Mediterranean,Mediterranean Restaurants,Middle Eastern,Lebanese,Greek,Vegetarian Friendly,Vegan Options",-83.049498,42.506671000000004,25.0,40.0,https://www.oasiscuisine.com
6734,New York,"Health Food,Vegetarian,Hamburgers",-73.96889399999999,40.754282,0.0,0.0,
6762,Napa,"Vegetarian,Tapas / Small Plates",-122.28608799999999,38.300193,0.0,0.0,
6772,New York,"Vegetarian,Soups",-73.96969200000001,40.760149,0.0,0.0,https://originalsoupman.com/
6790,San Diego,"Greek,Vegetarian",-117.075748,33.017505,25.0,40.0,https://www.pegasuscafe1.com
6824,Berkeley,"Indian Restaurants,Middle Eastern Restaurants,Asian Restaurants,Vegetarian Restaurants,Vegan Restaurants,Restaurants,Asian,Indian,Healthy,Vegetarian,Middle Eastern,Vegan",-122.26895,37.876574,25.0,40.0,https://www.tasteofthehimalayas.com
6866,Charlotte,"Asian,Sushi,Japanese,Seafood,Vegetarian",-80.851772,35.197672,0.0,0.0,
6919,Redmond,"Indian,Vegetarian",-122.118117,47.673384999999996,0.0,0.0,
6923,Glendale,"Indian,Indian, Vegetarian, Bar / Lounge / Bottle Service",-118.254902,34.1446,25.0,40.0,https://www.indiasflavor.com/
6938,Bellerose,"Indian,Vegetarian",-73.72166,40.742408000000005,0.0,0.0,
6961,Astoria,"Mediterranean,Vegetarian",-73.924816,40.761586,0.0,0.0,
6994,Los Angeles,"American,Vegetarian Friendly,Vegan Options,Gluten Free Options,Breakfast and Brunch",-118.36613500000001,34.07205,0.0,0.0,https://fonuts.com/
7007,Overland Park,"Vegetarian,Indian",-94.700551,38.971233000000005,25.0,40.0,
7035,Tempe,"Middle Eastern and African,Mediterranean,Vegetarian,Lebanese",-111.926272,33.420085,0.0,0.0,https://www.cafeistanbulandmarket.com/
7072,Atlanta,"American,Vegetarian",-84.416542,33.738157,0.0,0.0,https://www.vegetariantimes.com/
7077,Santa Clara,"Vegan,Take Out Restaurants",-121.94561499999999,37.325845,0.0,0.0,https://lovinghut.us
7101,Nashville,Vegetarian Restaurants,-86.640569,36.254558,0.0,0.0,https://www.theveggiecafe.com/
7118,Carson,"Chain Restaurant,American , Fast Food , Health , Organic , Smoothies , Traditional , Vegan , Vegetarian , Specialties",-118.26051799999999,33.844145000000005,0.0,0.0,https://www.jambajuice.com/
7138,Raleigh,"Italian, Vegetarian,Italian",-78.64420600000001,35.838587,0.0,30.0,https://www.vivaceraleigh.com/
7198,Waltham,"Italian,Vegetarian",-71.23713199999999,42.369996,0.0,0.0,
7199,Seattle,"Breakfast and Brunch,Vegan",-122.319829,47.675643,25.0,40.0,https://waywardvegancafe.com
7249,Asbury Park,"Southern / Soul,Vegetarian,Breakfast and Brunch,Vegan,American Restaurants,Caterers,Restaurants",-74.01176,40.2168,25.0,40.0,https://www.atthetablenj.com
7291,Cambridge,"Vegan Restaurants,Caterers,Bakeries,Continental Restaurants,Breakfast Brunch and Lunch Restaurants,,Vegetarian Restaurants,Restaurants,Breakfast,Brunch and Lunch,European,Healthy,Vegetarian,Vegan,Continental",-71.10127,42.36234,25.0,40.0,https://www.veggiegalaxy.com
7315,Tahoe City,"American,Ice Cream and Desserts,Vegetarian,Vegan",-120.14573899999999,39.159286,0.0,0.0,https://www.uncommonkitchen.org/
7357,Miami,Vegetarian,-80.243973,25.728379999999998,25.0,40.0,https://www.lastcarrot.com
7429,Portland,"Southern,Vegetarian",-122.626277,45.516232,0.0,0.0,https://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ0aEpj_pqn5PjP-tWUE4d-cBOmNCQ3lMeLpJoqhzicZeh7yo5suMGc7Gzxa7OkwHbQiUdveIDCFjiK3B_DiibEL_MCs9Dd1TUcmnptsXxSufn5wRpCELFOqeWJ0tpPe6QcF8oPx0LmhR9rgsWYq-3hs1O3edRtRo7Cm8ZD3yNYWJg0bdNvrDTiv7FRIuoT3i60eTyU7jemGm0T1ZjWO3NU7ksmdcGfmiMXNl4thQHVTlCWNJGkxYrq_zbeHABcA797MNC3QvEJUjw3V1GsjC4ql-mQdG-YwKgKekLMtMkWFGPnbwNq2LpgWoboLHhPfeUnqGGBBb8j9y9I3pdNhQCm1V_9LejSm7CyUSp3yBYlw-nega3FtaPLw&placement=listing_profile&cs_user=unknown&cs_session=b3cac3ebd0b146970ca22a96cdbd94f7527af87d
7437,Dallas,"Mexican,Seafood,Vegetarian,Southwestern",-96.797713,32.998484999999995,0.0,0.0,https://berryhillbajagrill.com/
